constraint,path,focus_node,cause
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100387,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100388,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100389,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100417,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100761,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100762,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100768,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100945,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100946,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100947,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100948,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C101302,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C101869,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C101874,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C101875,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C101876,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C102034,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C102035,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C102036,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C102037,authored: dcterms:identifier carries the bare C-code (D2)
